id	word1	word2	headline
42	bailamos	discoteca	En una discoteca, un chico pregunta a una chica: - ¿Bailamos? - Claro. ¿Pero quién saca a mi amiga? - Ahhh, por eso no te preocupes. ¡SEGURIDAAAAD!
44	rumana	romana	- Camarero, ponga una de calamares a la rumana, por favor. - Será a la romana. - Irina, cariño, dile al camarero este de dónde eres...
46	homicidios	puñaladas	- Johnson de homicidios, ¿quién es? - Agente Aguirre. - ¿Qué ha pasado? - Asesinato de un varón de 38 años. Su madre le ha dado 6 puñaladas por pisar lo fregao. - Han detenido a la madre? - No, todavía está mojado
47	desembarcar	marinero	Esto es un capitán y un marinero. - Capitán, ¿puedo desembarcar por la izquierda por favor? -Se dice por babor. - ¿Puedo desembarcar por la izquierda por babor?
48	aerobic	bic	- ¿Qué hace un boli Bic en el aire? .... AeroBic.
49	venido	caballero	- Caballero, ¿vino con el filete? - No, he venido yo solo.
50	árboles	cableado	- ¿En qué se parecen los árboles de navidad y las piernas de tu suegra? - En que los dos tienen el “cableado por fuera”
51	apagada	fundida	Una bombilla en una fiesta le dice a otra: - Tia! Te noto como apagada. Y su amiga le contesta: - No, es que estoy fundida.
52	hobbies	preferidos	- Y para terminar la entrevista..., dígame cuáles son sus hobbies preferidos. - Bilbo, Frodo y Samsagaz.
53	arresto	cometido	- Ha cometido usted un crimen matemático. - Pues, lo asumo. - Pues, lo arresto.
54	arboles	troncos	- Ahí va Patxi, como cortas troncos! Donde has aprendido? - Pues en el Sahara! - Pero si allí no hay arboles! - No, ahora ya no...
55	contratarlo	clave	- ¿Tienes wi-fi? - Sí - ¿Y cuál es la clave? - Tener dinero, llamar a una operadora y contratarlo, no tiene más...
56	antipáticos	patos	- ¿Por qué los patos no tienen amigos? - Porque son muy antipáticos
57	pescadería	comprando	En la pescadería, comprando para la cena de navidad:  - Muy buenas, hay gambas? - Muy buenas. - Muy buenas, hay gambas?  - Muy buenas - ....
58	actor	johnny	- ¿Sabes a qué actor le dan siempre el pésame? - A Johnny DEP
62	antiguo	animal	- ¿Cuál es el animal más antiguo?  - La vaca - ¿Por qué?  - Porqué esta en blanco y negro.
63	casaste	explicas	-Papa, ¿por qué te casaste con mama? - Tu tampoco te lo explicas, ¿verdad hijo?
64	rosario	tía	Tía Rosario, ¿de donde vienes? - Del salón de belleza. - Estaba cerrado, ¿verdad?
67	evangelio	mentiras	Los feligreses en la iglesia y el padre comienza a hablar:  - Hermanos hoy vamos a hablar de las mentiras. ¿cuantos de ustedes recuerdan que dice el capitulo 32 de San Lucas?  - Y todos levantaron las manos. - Precisamente a eso me refería, el evangelio de San Lucas solo tiene 24 capítulos.
68	filósofo	engañando	- María, tú me estás engañando con el filósofo del pueblo. - Eso no son más que falacias Pedro, simples falacias.
69	wifi	tómate	- Disculpe ¿me puede decir la contraseña del Wifi de su Bar? - Tómate una caña por lo menos, hombre! - Aja... ¿Todo junto?
70	necesitaba	regalé	- Mi mujer me dijo que ya no podía más, qie necesitaba más espacio. - ¿Y qué hiciste? - La regalé un disco duro de 2Tb.
72	tetravrik	islandia	- ¿Este vino, de dónde es? - De Islandia, creo. - ¿No pone la ciudad en el envase? - Tetravrik.
73	enfermos	buscar	Dos leperos van al médico y ven un cartel: “CONSULTA DE 4 A 7”. Así que uno de ellos le dice al otro: -Oye, que solo somos dos, vamos a buscar otra pareja de enfermos.
74	avisan	cardíaco	Estaba un catalán en su casa y le da un ataque cardíaco, avisan a la ambulancia, lo montan en la camilla, lo suben en la ambulancia y de camino el médico le dice a su ayudante: -¡Rápido, póngale la mascarilla! Y el catalán: -¡No, por favor, póngame la más baratilla!
75	básico	simón	Se abre el telón y se ve un tetrabrik de Don Simón. ¿Cómo se llama la película? -”Es tinto básico”.
78	anulado	química	"- Mi novia me ha dejado una nota en la mesa que ponía: ""Me voy, no hay química"" - No la entiendo, ¿si le han anulado la clase para qué va?"
79	eterno	marinero	Dos mujeres, una le dice a la otra: - Mi marido es marinero y se pasa 11 meses en el mar y uno en casa. - Vaya... ¿Se te debe hacer eterno? - No te creas porqué se pasa medio mes en casa de su madre.
80	devoción	salvavidas	Un marinero de un barco que se hunde grita desesperadamente: - ¿Hay alguien a bordo que sepa rezar con devoción? - Sí, yo, responde un pasajero. A lo que el marinero responde: - ¡Perfecto, porque nos falta un chaleco salvavidas!
81	límite	infinito	En Bilbao, al salir de un examen de Análisis Matemático: - Oye Patxi, ¿qué te ha dado el segundo límite, pues?. - Más infinito - ¿Sólo?
82	cadaveres	reírse	Estan 2 cadaveres en el cementerio y uno empieza a reírse y dice: -Jajajajaaja, me vivo de la risa!
83	dieciocho	menores	Había un campo tan verde, tan verde verde, que las ovejas menores de dieciocho años no podían entrar.
84	podríamos	tenemos	- Amor mío, creo que podríamos tener otro hijo. - Me parece bien, a mi tampoco me gusta el que tenemos ahora...
85	queeeeeé	faltaaa	- ¡Cariño, estás obsesionado con el fútbol y me haces falta! - Queeeeeé??? Faltaaa? Falta? si ni siquiera te he tocado, vamos.... como puedes decir falta...
86	falsas	maniquí	Un hombre va caminando por la calle, ve una tienda de ropa, entra y comienza a pelearse con el maniquí. - Oiga, que hace pegando a este maniquí - ¡Es que no soporto a las personas falsas!
87	escuchas	quieras	- Ya no me escuchas cuando te hablo Antonio - Lo que quieras cariño, una tortilla o lo que te venga bien, tampoco tengo mucha hambre.
88	patriota	independencia	- Papá, ¿qué significa patriota? - ¿Has visto todos esos catalanes que piden la independencia? - Sí - Po tráeme una birra. Y pa-ti-otra
89	llamamos	especifica	- Nos gusta mucho su currículum, señor Juan, pero no especifica su teléfono. - No. - ¿Y cómo le llamamos?  - Juan.
90	recogernos	vagos	- Una pregunta, ¿los vagos vamos al infierno? ¿O vienen a recogernos?
92	argentino	vos	- ¿Que le dice un bosque argentino a otro? - ¿Y vos qué?
93	rata	suya	Una rata que se echa un murciélago de novio y otra rata amiga suya le dice: - Oye vaya novio feo te has echado no? - Si, pero es piloto
94	mentiroso	sinceramente	- Doctor, todo el mundo cree que soy un mentiroso - Sinceramente, eso no puede ser...
95	vecina	parecido	Una vecina a otra: - Uo! Es increíble el parecido que tiene tu hijo con su padre! - Sí, ya... pero habla más bajo que mi marido está en casa!!
96	agotadas	farmacia	En la Farmacia: - ¿Tienen pastillas para el cansancio? - Están agotadas
97	narcóticos	cubatas	En la escena del crimen: - Hola! John, soy de narcóticos. - Javier, yo soy más de cubatas de toda la vida.
98	airbags	funcionan	- Papá, tengo una buena y una mala noticia... - Empieza por la buena, dame una alegría anda... - ¡Los airbags de tu coche funcionan muy bien!
99	exportación	exportante	- ¿En qué trabajas? - Soy director general de una empresa de importación y exportación. - Qué puesto más importante - ¡Y exportante!
100	químicos	ácido	- ¿Cómo se despiden los químicos? - Ácido un placer
101	galleguiño	guiña	Si un gallego te guiña un ojo, ¿es un galleguiño?
102	llevarla	pueblerinos	Dos pueblerinos hablando: - Tengo un problema, y es que a mi vaca no le gustan los toros. - ¿Has probado a llevarla al fútbol?
103	verano	hotel	Un hombre le pregunta al dueño del hotel: - No lo entiendo ¿por qué en verano cobras menos por noche que en invierno? - Claro es muy sencillo, ¿no ves que en el verano las noches son más cortas?
104	comerlas	setas	- Camarero, una ración de setas! - Serán 15€, por favor. - Pero... ¿me las va a cobrar antes de comerlas? - Es que con las setas... nunca se sabe!
105	llorarías	amada	Una pareja de novios recién casados comentan: - Oye, una pregunta amada mía, que se me acaba de ocurrir sin motivo...  - Dime mi amor - Si algún yo me muriera ¿Llorarías? - Pues claro!. No ves que yo lloro por cualquier tontada...
106	inscripción	hipocondríaco	"Inscripción en la lápida de un hipocondríaco:  ""Ya te decía yo que algo me pasaba"""
109	uruguay	paraguay	- ¿Por qué nunca llueve en URUGUAY? - Porque está debajo de PARAGUAY.
110	comerá	sopa	- Camarero, hay una mosca en la sopa! - Tranquilo, que la araña que hay en el pan se la comerá pronto...
111	brinque	rana	En un restaurante: – Camarero, camarero, ¿tiene usted ancas de rana? – Sí, señor. – Bueno, pues brinque hasta la cocina y tráigame mi filete, por favor.
112	bond	recepción	En la recepción de un hotel: - ¿Nombre? – Bond, James Bond. – Bien, Bond James Bond – No. James y Bond a parte – ¿James Bonaparte? – James Bond, y ya – ¿James Bonilla? – Apunte 007… - ... Lo siento... esa habitación no está disponible - ...
113	cham	sucio	- ¿Cómo se dice pelo sucio en chino? Chin cham pu.
114	amortiguadores	rompo	- Papa, Papa! Ayer salí con mi nuevo novio mecánico y me dijo algo que no entiendo. Me dijo que tengo un lindo chasis y dos bellos amortiguadores, aparte de dos fabulosos paragolpes. El padre le contesta: - Dile a tu novio, que si abre el capo y mide el aceite del motor,le rompo el tubo de escape!
115	cocinera	rezas	- Tu rezas antes de comer. - No señor. Mi madre es buena cocinera.
117	manzanas	cincuenta	- A ver Jaimito, si tengo cuarenta manzanas en una mano y en la otra tengo cincuenta, ¿qué tengo en total? - Las manos muy grandes.
118	aviones	naranjas	- ¿Tu sabías que las cajas negras de los aviones en realidad son naranjas? - Que me dices! ¿no son cajas?
119	vegetariana	carne	- Mi novia me trata como a un filetito de carne. - Y cual es el problema ? - Que es vegetariana.
120	bebe	conseguido	Era un bebe tan feo tan feo tan feo que cuando nació el médico dijo: -He hecho lo que he podido pero al final ha conseguido salir.
122	trompetista	recital	"Se encuentran por la calle un trompetista con un amigo: - Trompetista: ""Hola José, ¿escuchaste mi último recital?"" - José: ""¡Eso espero!""."
123	sujeta	jeta	- ¿En que consiste la acción de besar? - Es cuando el sujeto sujeta a la sujeta con su jeta.
124	submarino	paracaídas	- ¿Cómo se puede identificar a uno de Lepe en un submarino? - Es el que lleva el paracaídas puesto.
126	gallinas	incubando	Dos gallinas se cruzan por el corral y una le dice a la otra:  - ¿Qué tal? ¿Cómo va eso?  - Pues no muy bien, la verdad...  - ¿Y eso, qué te pasa?  - No sé, creo que estoy incubando algo.
127	bañistas	ballena	Había un tipo gritando en la playa como un loco: - ¡Una ballena, una BALLENA! Se acercan todos los bañistas corriendo. Después vienen los policías y preguntan: - ¿Dónde está la ballena? El hombre responde: - No, no señor, es que se me han caído dos botellas de cerveza al mar y una VA LLENA.
128	compitiendo	empatado	- ¿Que le dice un pato a otro pato que estaban compitiendo en una carrera? - Hemos empatado
129	pobrecilla	silla	¿Qué le dice una silla rica a una silla pobre? Pobrecilla...
130	taxista	quitamos	Pasa un taxista a 140 km/h camino del aeropuerto y le dice un policía a otro: - ¿Ese tipo no es al que le quitamos el carné la semana pasada? - Ese es!! vamos a por el. Paran al taxista y le preguntan: - ¿Y el carné? A lo que el taxista les responde  - ¡¡No me digan que me lo han perdido!!
131	gurruchagagoitiaga	urrutxomengasalaberría	- ¡Alto! Se ha saltado un semáforo en rojo. Tengo que ponerle una multa. Dígame su nombre. - Josetxu Aristeguicorteneindiaguirre de Urrutxomengasalaberría y Mendiagorrialbizu de Gurruchagagoitiaga. - Bueno, rojo.... lo que se dice rojo.. no era: era ámbar intenso, más bien. Siga, por favor...
133	emprendedora	altruista	- Soy una persona seria, responsable, emprendedora, altruista, trabajo en equipo... - Ha dibujado usted una casita con un árbol en el currículum... - También pinto
134	deberías	evaluación	Un médico que se encuentra a otro en el cementerio y le pregunta:  - ¿Qué haces tu por aquí, no deberías estar trabajando a estas horas?  - Estoy trabajando lo que pasa es que hoy hacemos la evaluación de como ha ido la semana.
135	pídemelo	esforzarte	Un niño llega a casa con un examen de inglés: - ¿Otro suspenso en inglés? tienes que esforzarte más - le dice su madre. - Vale mamá… pero ahora tengo hambre. - A ver, pídemelo en inglés. - I am bre.
136	pusieron	saco	- Mamá, mamá, hoy casi saco un 10. - ¡Muy bien Jaimito! pero… ¿por qué casi? - Porque se lo pusieron a mi compañero de al lado.
137	kasitoko	japonés	¿Cómo se llama el campeón de buceo japonés? - Tokofondo. ¿Y el subcampeón? - Kasitoko.
138	vegano	broco	- ¿Cómo se llama el primo vegano de Bruce Lee? - Broco Lee…
139	oil	mielcoles	En la entrevista de trabajo - ¿Cuál es su nivel de inglés? - Muy Alto, señor... - Bien, sabe ¿qué es oil? - Mielcoles...
140	taladro	taladrando	- ¿Que hace un perro con un taladro? - Taladrando
141	seguros	agente	- ¿Qué le dijo el agente de seguros a Adán y Eva? - Ya veo que no están cubiertos.
142	millonarios	cierres	- Abuelita, cierra los ojos. - ¿Por qué quieres que cierre los ojos? ¿Alguna sorpresa? ¿Un regalo? - Mmmm, no porque papá ha dicho que, cuando tú cierres los ojos, seremos millonarios.
143	vallas	chiste	- ¿Te sabes el chiste del hombre entre dos vallas? - No. - Vaya, hombre, vaya.
144	creciendo	empezar	- Mira Mamá, ya me están creciendo los pechos. - Si, ya vi, tienes que empezar adelgazar un poco Manuel.
146	quizás	preguntas	Un hombre va a un abogado. - ¿Y usted cuanto cobra por una consulta rápida? - Bienvenido, 1.000€ por tres preguntas. - ¿Vaya, es un poco caro, no? - Si, quizás, y dígame... ¿cuál es su tercera pregunta?
147	chiste	chistes	Había un chiste tan, pero tan malo, que le pegaba a los chistes buenos.
148	pocoyo	tampocoyo	- ¿Te sabes el chiste de Pocoyo?  - No - PUES TAMPOCOYO.
150	cuchillos	cirujanos	Yo no me fio de los cirujanos. Son expertos en manejar cuchillos, se cubren la cara para no ser reconocidos y usan guantes para no dejar huellas
151	romanos	perdónales	Jesucristo está en la cruz gritando: - Malditos hijos de..., Romanos, Cabronesss.... en esto que se acerca Pedro corriendo y le dice: - Maestro, maestro que viene la prensa - Señor, perdónales porqué no saben lo que hacen.
152	canta	hawaiana	- Mi perro es extraordinario: cuando quiere baila estilo hawaiana, cuando quiere me recoge las zapatillas y me las trae, cuando quiere canta como Sinatra. - ¿En serio? - Si, lo malo es que nunca quiere
153	nube	two	- Qué hacen dos vascos encima de una nube? - Two-bascos
155	abeja	zumba	- ¿Qué hace una abeja en el gimnasio?  - ................. Zumba
156	comúncamión	nah	- ¿Estoy gorda amor? - Nah, yo diría que tienes un cuerpo común... - ¿Que tan común ? - Pues ComúnCamión mi amor
157	camuflaje	capitán	- ¡Soldado Miralles! - ¡Sí, mi capitán!  - No lo vi ayer en la prueba de camuflaje.  - ¡Gracias, mi capitán!
158	indiferencia	ignorancia	- Juan, ¿Qué es peor, la ignorancia o la indiferencia? - Ni lo se, ni me importa
159	arreglando	enchufe	Se abre el telón: Aparece Paca arreglando un enchufe Título de la película? El Aperio Contrapaca
160	adiós	detalle	- Camarero, la cuenta por favor - Cincuenta - Sin cuenta, que detalle, gracias entonces, adiós!
161	impresora	impresión	- ¿Por qué le dio un paro a la impresora?  - Parece que tuvo una impresión muy fuerte
162	universo	geométricas	- Buda, ¿te puedo hacer llegar una de esas representaciones geométricas complejas del universo? - Mandala
163	estrellas	favorito	"- ¡Papá, mira el cielo! ¡Está lleno de botoncitos de ""Favorito""!  - Estrellas, hijo. Se llaman estrellas."
165	estafa	estufa	- ¿Cuánto cuesta esta estufa? - 5 mil dólares - Pero, oiga, ¡esto es una estafa! - No, señor, esto es una estufa
166	drogras	drogado	Después de una operación de urgencia sale el doctor y se dirige a los familiares: - Lo siento, ha muerto - Pero, que ha pasado, doctor? - Iba demasiado drogado - Pero eso no puede ser, si él no tomaba drogras - Él no, pero yo sí.
168	gimnasio	hacerse	- ¿Para qué va una caja al gimnasio? - Para hacerse caja fuerte
169	agustín	incomodín	- Hola, ¿está Agustín? - No, la verdad es que estoy incomodín
170	mago	magordito	- ¿Cómo se queda un mago después de comer? - Magordito
171	obsesionado	refieres	- ¡Estás obsesionado con la comida! - No sé a qué te refieres croquetamente
172	inspirador	camiseta	- Buenos días, quería una camiseta de un personaje inspirador. - Gandhi? - No, mediani!
173	dislexia	sopa	- ¡Mosca! Hay una sopa en mi camarero. - Señor, creo que usted tiene dislexia. - ¡Tu madre de la concha!
174	españoles	muro	Año 2020: Sacyr termina el muro encargado por EEUU.  Trump se niega a pagar los sobrecostes. El estado español rescata Sacyr. Finalmente el muro lo pagan los españoles.
175	preparar	bocadillo	En una farmacia: - ¿Tiene pastillas para adelgazar?  - Sí. - ¿Me puede preparar un bocadillo de esas pastillas? Para llevar por favor.
176	tendrías	profesora	Profesora a un niño de su clase:  - Juan, tendrías que haber estado aquí a las nueve de la mañana... - ¿Por qué? ¿Qué ha pasado?
178	funda	boina	"- ¿Sabes por qué los de Lepe usan todos boina en invierno?  - Porque es ""funda-mental"""
179	eleven	papi	"- Papá, ¿cuántas anclas tiene un barco?  - Once  - ¿Estás seguro?  - Claro, nunca has oído eso de: ""Eleven anclas""?  - Ah si, es verdad. Gracias Papi!"
180	bautizados	confirmados	- Hola, querría reservar mesa en el restaurante para cenar mañana - ¿Cuantos serán? - Seremos 6 o 10, aproximadamente - Necesito saber cuantos confirmados - Confirmados 2, el resto solo bautizados....
181	acuerdas	anciana	- Papá ¿qué es una secuela? - ¿Te acuerdas hijo de aquella anciana que estaba en la cola del supermercado que le di una buena paliza? - Si - Pues esa ya no secuela más
182	fruta	naranja	- Cuál es la fruta que más se ríe? - La Naranja ja ja ja ja
183	pintura	exposición	En una exposición de pintura: - A usted le gusta la pintura? - Mucho, pero mas de un bote me empalaga.
184	inténtalo	resuelves	- ¿Papa, papa, me resuelves este problema de matemáticas? - No hijo, no estaría bien. - Bueno, inténtalo de todas formas.
185	ovejitas	oveja	-No puedo dormir por mi déficit de atención - Pues cuenta ovejitas - Una oveja, dos ovejas, gato, camión, dale a tu cuerpo alegría macarena...
187	renol	usa	- ¿Sabes qué coche usa Papa Noel?  - Pues fácil, un Renol!!
188	luces	encienden	- Hijo avísame si las luces del árbol se encienden!  - Ahora si, ahora no, ahora si, ahora si, ahora no, ahora si....
189	batman	batidora	- ¿Qué le regaló Batman a su mamá por navidad? - Una BatiDora.
190	spaguetti	salsa	¿Que le dice un spaguetti a otro?  ¡El cuerpo me pide salsa!
192	ring	llamo	- Ring, ring, ring - ¿Hola? - Muy buenas ¿llamo al uno-uno-uno-uno-uno-uno ? - No, este es el once-once-once.
194	maquina	cafe	-Me da un cafe con leche corto. -Se me ha roto la maquina, cambio....
195	ivanovna	enrojece	Vovotchka le dice a su maestra: - Maria Ivanovna, te amo. Ella enrojece: - Vovotchka, no me gustan los niños pequeños. - No te preocupes, tomaremos precauciones.
196	consumismo	entraremos	- Este año podemos decir que con el presidente Donald Trump entraremos en una etapa de fuerte consumismo...! - ¿De que consumismo hablas? Si no hay dinero!! - Verá usted como transcurre el año y seguirá con-su-mismo sueldo, con-su-mismo traje, con-su-mismo coche...
197	compartiré	casemos	- Querido, cuando nos casemos, compartiré contigo todas tus desgracias y problemas. - ¡Pero si no tengo! - He dicho 'después' de que nos casemos.
198	regalos	papa	- Sabes por qué se llama Papa Noel - Porque los regalos te los trae papá, no él!
199	vegano	saber	- ¿Cómo saber si alguien es vegano? - No te preocupes, te lo hará saber
201	matrimonio	esposa	- Pues ya he conseguido que mi novio me hable de matrimonio, después de haber estado saliendo seis años. - Ah, si? Y que te ha dicho? - Que tiene esposa y tres niños.
202	tatuaje	jabon	Un marinero enseñando orgulloso su tatuaje a un amigo: - Pues si tío, este tatuaje me lo hice hace 20 años en el puerto de La Habana. - Como mola!!! Y si te das con jabon, no se va? - Pues... ahora que lo dices... no se.
203	preparan	pollo	Esto es un tío que se va a comer a un restaurante en Lepe y pide pollo asado, se lo sirven, y resulta que esta buenísimo, así que llama al camarero y le pregunta: - Oiga, como preparan el pollo? - Pues no hacemos nada especial.... tan solo les decimos que van a morir.
204	trabajan	ginecologo	-En que se parecen un ginecologo y un camarero? -En que los dos trabajan donde los demas se divierten.
206	fumas	llegaras	Si bebes como un poseso y fumas como un carretero durante cien años, llegaras a viejo.
207	tragado	tocadiscos	- Doctor, doctor, que me he tragado la aguja de un tocadiscos. - No se preocupe, a mi me pasó lo mismo hace tiempo y no me ha pasado nada - pasado nada - pasado nada - pasado nada...
208	numeros	rapido	Llamada a urgencias: - Vengan rapido! Mi marido ha tenido un accidente! Ha sido atropellado por una apisonadora! - Donde se encuentra ahora mismo? - En la calle Mayor, numeros 21, 23 y .... ahora 25 también.
209	urgencias	sacacorchos	Una llamada a urgencias: - Doctor, doctor, un amigo se ha tragado el sacacorchos cuando estábamos a punto de cenar!! - ¿Y que han hecho? - Hemos abierto la botella con un tenedor.
210	futuro	sabias	- Tío, sabias que adivino el futuro? - ¿Desde cuando? - Desde el jueves que viene.
211	consiguió	seguidos	Un vasco aparece en el Guiness como la persona que ha comido mayor cantidad de huevos seguidos, un periodista le pregunta: -Y como consiguió comer usted tantos huevos seguidos? -Ya ve, a fuerza de pan.
212	vino	litros	Entra un borracho a una bodega y dice: - Me da 20 litros de vino? - Ha traido el envase? - Esta usted hablando con el.
213	tírame	mariiiiia	El marido llega al portal de su casa totalmente borracho y empieza a gritar: -Mariiiiia, Mariiiia! La mujer se asoma a la ventana y dice: -Ya vienes otro día borracho y quieres que te eche la llave. -No, no, si hoy la llave la tengo, mejor tírame la cerradura, que no la encuentro.
214	absurdo	lactosa	- Póngame una cerveza - ¿La quiere sin alcohol? - No, la quiero sin lactosa - Pero... eso es absurdo - Ha empezado usted
215	extranjeras	trump	Si Donald Trump quiere echar a todos los extrangeros de Estados Unidos, ¿por qué sigue contratando a extranjeras para ser su esposa?
216	asesores	asesor	Una reportera asegura que fue empujada por uno de los asesores de campaña de Trump. ¿No es una locura eso? Donald Trump tuvo un asesor de campaña!!
217	viaja	trump	¿Cómo viaja el presidente Donald Trump? Obviamente usa el 'Hair Force One'
218	imperfecto	deberia	"Jaimito en clase: -A ver Jaimito, que tiempo es: ""esto no deberia haber pasado""? -Preservativo imperfecto."
220	cazadora	robado	- Tío, me han robado la cazadora de cuero que me vendiste el otro día. - Ya te dije que era de las que se llevaban.
221	alegro	pequeña	- Doctor, quería hacerle una consulta - Me alegro, porqué esta se me ha quedado pequeña.
222	invitar	glenfiddich	- Camarero, me gustaría invitar a aquella chica. ¿Qué está tomando? - Un Glenfiddich de 15 años. - Pues póngale otro hielo de mi parte.
223	jesucristo	hubiera	Si Jesucristo hubiera tenido un hermano gemelo serian clavados.
224	cabello	tinte	- Desde que uso el tinte verde no pierdo el cabello. - ¿Si? - Si. Caer, se me cae igual, pero eso si, con ese color en seguida lo encuentro.
225	autopsia	operación	- Doctor, doctor! ¿Qué tal ha ido la operación? - ¿Operación? ¿No era una autopsia?
226	niebla	tanta	- Manolo, que día hace hoy? - No tengo ni idea, con tanta niebla no veo nada.
227	llegaremos	damián	Dos curas: - Padre Damián, con todos los últimos cambios de la Santa Iglesia, ¿usted cree que llegaremos a ver a los curas casados? - Nosotros no, pero nuestros hijos si.
229	piojo	calvo	- ¿Qué hace un piojo en la cabeza de un calvo? - ¡Desintoxicación!
230	famosa	torino	- ¿Qué tal tu viaje por Italia? - Muy bien, estuve en Roma, en Milán, en Temeo. - ¿Temeo? ¿Nunca había oído hablar de esa ciudad? - Pues es grandisima. - ¿Si? - Si, y muy famosa. - ¿Estás seguro de que se llama Temeo? - Ah no! perdona, era Torino.
231	piensas	año	- María, dime la verdad, cuantos años tienes? - 25. - Pero si me dijiste 25 el año pasado! - A ver si te piensas que soy de esas que primero dice una cosa y después otra.
