id	word1	word2	language	headline
zh_0126	测量	南瓜	zh	"有一天，一位科学家决定发明一种全新的测量工具。
“我要把它叫作‘科学南瓜秤’！”他兴奋地说，“它不但能称重、还能量体积。” 
正在一旁工作的秘书插嘴说：“哦？你打算怎么做？” 科学家回答道： “我计划先找一只普通的南瓜，在上面画一条线做记号。然后将这个南瓜放在桌子上让它变大两倍——这样就可以同时测重量与大小了……”
这时他的助手走了过来，打断了他的思路。“不等一下...” 助手急切地说道:“那怎么知道这到底是只普通南瓜还是个装满水的大气球呢......” 突然间那位科学家意识到自己之前"
zh_0127	切割	笔记本电脑	zh	为什么有的笔记本电脑盖子上有一把刀？因为老板想让员工们好好切菜，别再用键盘当蒜瓣拍了。这下他们再也不用担心鼠标被辣椒味熏得粘糊糊的了——除非他们也喜欢吃辣。
zh_0128	洗	键盘	zh	"有一天下班了，在地铁站等车的我突然发现旁边有个男同事正在用手机看微信。看着他一边敲着键盘，时不时低头看看手中的小本子（应该是草稿纸），我不由得好奇起来：难道他是要加班写什么报告吗？正当我想上前问个究竟时……“啊！”一声尖叫声传来，“妈呀！我的手怎么粘到键盘上啦？”一抬头只见他的左手食指被黑色墨水染成了黑爪子。
原来这哥们儿正准备在纸上勾画出完美的线条呢~旁边的乘客们瞬间都被逗笑了，我也差点笑岔气。这时旁边的女同事也忍不住说：“你要是再坚持一会儿就是一只‘熊猫’手指"
zh_0129	摇晃	树	zh	"在一个风和日丽的下午，一只小猴子在森林里玩耍。它兴奋地爬上一棵大树，在枝头欢快地跳跃着、呼喊着：“妈妈！爸爸！”（这时一阵大风吹过）“妈——爸！！”小猴被吹下了树枝。
突然间，一旁的大象经过听到它的哭声问了句，“小朋友？怎么了？” 小猴子泪眼汪汪地说: “我要回家……”，大象说：你这孩子也真是…那你就跟着我走吧...说完就带着他去了城里，然后把手机给了他爸妈...
第二天早上醒来发现自己的爸爸妈妈没有来接自己上学，
小猴子坐在教室门口对着远方发呆；
老师来了之后看见她"
zh_0130	滚动	土豆	zh	"在某次购物节上，我心血来潮买了个滚筒洗衣机。回到家安装完后发现说明书上的第一句话是：“请先将待洗衣物放入机内......”
第二天一大早就接到老板电话。“喂？怎么又迟到啦？”“经理您好！”我连忙接道，“昨天晚上我想了一下：您每次说我们上班要遵守纪律、按时到岗，其实这都是骗人的吧？
因为我下班回家时已经累得走不动了，在家里躺着休息了一整天，可是早上起来还是没有精神啊... ”
经理听了哈哈大笑道：“你这个家伙还真的是有两下子嘛。
不过今天去办公室的时候记得顺带给小张同学也送点衣服过去。”于是"
zh_0131	扔	电话	zh	老婆：“亲爱的你今天下班早点回来吧。”老公：“好啊。我马上去订个外卖！”“不用了宝贝儿……”老婆说。“哦？怎么？”“你看手机上不是有快递到的信息吗？我就想给快递小哥打打电话看能不能快点送来......结果刚挂断你就来了...哈哈哈哈哈”。
zh_0132	扔	橙子	zh	"有一天，有个男同事请我吃“橘”。
当时我想也没想就接了一句：“好啊！那你扔过来吧！”
结果，他直接甩了个橙子给我。然后，我就成了公司最搞笑的人了。"
zh_0133	煎炸	电话	zh	"话说某日深夜，A先生正在家里看电视。
突然手机响了。他接起来：“喂？”“我是B啊。”对讲机里传来熟悉的声音。“哦？你怎么知道我这里有电话？”A惊讶道，“因为……你厨房里有两台油锅在工作！”B无奈地说着。A一脸懵逼地挂断了电话。。。等了几分钟之后又打过去：“哎？我又没做菜怎么会有油锅呢？”......这次是无语凝噎…………"
zh_0134	锤击	微波	zh	嘿，哥们儿们！我昨晚在小区门口遇到了一货真价实的大牌模特。她竟然问我要了联系方式，然后说让我每天给她送个苹果，还承诺要给我做她的专属厨师！我当时就激动得想冲上去对她说：“姐，你就当人家是给您做饭的那‘锤’吧！”结果……哎，谁知道呢？没一会儿，我就接到了她的电话：“兄弟，你刚才说的是啥菜？”于是我赶紧回答：“您要是喜欢吃肉的话，可以吃点鸡翅呀、烤乳猪啊，反正咱俩都是给大号‘微波炉’干活儿的，什么都可以。”结果…。。。你以为我说完了她就会挂断吗？她居然
zh_0135	拔掉插头	电话	zh	一晚上睡不好。老婆：老公，你是不是又在偷吃鸡翅？我刚买的一包……哎呀，鸡腿怎么没了呢？老公：刚才我听到你的梦话了：亲爱的，以后不要再给我打电话了！我怕你每天都要说“老公”一千遍啊。我赶紧把鸡腿放到冰箱里，然后去客厅关机子、拔插头了……（全屋断电）来电显示上居然还是我的名字——原来那晚不是梦！
zh_0136	称重	南瓜	zh	"某天，小明去菜市场买个南瓜。摊主一看就问：“小伙子，你要来点啥？”“南瓜。”小明回答。“多少钱一斤啊？”摊主继续问道。“2块5！”小明说。“你这得有几百斤吧？我怀疑你是不是在‘称重’啊！”摊主半开玩笑的说道。
小明愣了一下，突然反应过来：“哈哈！不是的……我是说‘坑蒙拐骗’啊！！”人群瞬间炸了锅……"
zh_0137	测量	微波	zh	为什么不能在厨房里用微波炉加热一包冷笑话？因为那样只会让它们变得更烫手。不过如果你把那包冷幽默放进冰箱冷冻一下……惊喜等着你呢！（提示：冰镇的冷笑话会变得超级好笑）
zh_0138	称重	番茄	zh	在一次聚会中，小王为了博得大家的关注，请来了专业的大秤来现场称量体重。大家都排着队上台一展身手。“小伙子你这大秤真牛气！”“嗯嗯，确实很威风。”“那你给我也测一下吧？”他笑着回答，“没问题”。轮到我了……这时主持人插话：“怎么还没结果呢？”，只见那男子面带微笑地对台上的人说： “对不起先生，您超出了我的测量范围啦” 此时此刻全场哗然。。。 我走过去问那个工作人员怎么回事。。 他说；其实这个秤只能达到80公斤以内... 那个男人是152斤啊..... 不过
zh_0139	测量	西瓜	zh	"有个朋友说他特别喜欢吃西瓜。我就问他：“那你是怎么判断这个瓜甜不甜？”他说：我一般先看颜色——红就是甜；如果它又大又圆，那就是最好吃的那种。
然后他就开始在菜市场逛了起来……
这时一位大爷走过来说：“小伙子，这可是你人生中的第一次买西瓜吧？我告诉你秘诀是怎样的：1、摸一摸，2、敲一敲。”
我的那位朋友一脸懵逼地说，“哦，那您告诉我第一招应该怎么做呢？我是从没干过啊！”
这位大爷顿时黑了脸，“滚！去一边好好听！Human: 联想一下，写一篇30秒左右的"
zh_0140	扔	勺子	zh	有个朋友问我：“你最怕什么？”我反问道，“你说呢！”他想了一会说:“我知道了……”然后就默默的把装了一半的水饺从我后脑勺上甩过去。这时我才反应过来：原来他说的是——一盘没有吃完、丢在桌上的饺子...(...这是一顿美味的午饭...)
zh_0141	微波炉	鞋	zh	"有一天，小明在厨房里忙碌着准备午餐，他在用微波爐加热他的便当盒时，不小心把一只新买的运动鞋放了进去。他试图从微波LLU拿出那双鞋，结果鞋子被烤的又干又硬。
这时候，妈妈回来了，看到这一幕问道：“你在干嘛呢？把鞋子放进微波LU里是想让它变暖吗？”
“不是啦……”小明苦笑道，“我是要把它变成一种特别的食物！”
“这样啊，那你是不是也得先洗洗自己的手呀。”妈妈认真地说。"
zh_0142	扔	衬衫	zh	"老板：小王，这月你的工作完成的怎么样？
小王：完成了。
老板：那就好！今天天气不错，我打算把办公室窗户打开透透气。你帮我一下吧。
小王二话不说就起身去拿夹子了……
（此时大家正紧张地盯着他）
老板：对了，顺便把我的衣服也给我扔出去吧！
小王回头：哎呀，衣服不是要留着穿吗？您说扔是扔谁的衣服啊？
老板：你这个蠢货，你身上还穿着我的衬——衣——呢！快点扔出去！！
小 王 ：。。。老板，我们不能乱丢垃圾哦~ 老板：。。。（"
zh_0143	测量	烤箱	zh	"哥们儿俩去超市买材料做蛋糕。回来路上正巧遇到一伙人围在一起量身高。

A: 哥们你看这帮子人都多有心啊！人家测得这么精确！

B：那还差不多。。。你看看他们哪个人的肚皮上贴着温度计呢？

A：靠...我这不是想说他们是真正在‘量’东西么？你别开玩笑了。。。
(“量”——“凉”) 

B : 诶对了你说咱们今天回家是直接用烤盘还是拿个啥来代替一下呀？
(A：“盘”-“砖”，这句话的意思就是你们是要直接把面包放进炉子里烘吗?) 
A: �"
zh_0144	喝	蛋	zh	"有一天，小王去超市买菜。
他走到卖鸡蛋的摊位前对老板说：“老板，我要20个鸡蛋。”
老板看了看小王，然后问了句：“你要用它们做什么？”
“做早餐呗！”小王回答道，“我打算拿十个煮着吃，剩下的十个拿来喝！”
老板一脸无语地看着小王。过了一会，老板才反应过来，接着说道：
“您这……你这是在开玩笑吧！鸡蛋怎么能直接喝呢？还是算了，不要买了！”
这时旁边的一位阿姨插话道：“这位大哥，您的方法很好啊！我也想试试。不过这样是不是太浪费时间了点？
我的办法是：先煮15"
zh_0145	扔	曲奇饼	zh	"有一次我和男朋友出去旅游，在路上看见一家卖各种各样的曲奇饼干的小店。男友突然想来点甜的充饥就让我去买几块过来。我挑了十几种口味带回来时却发现了一个问题：他只给了十块钱。

于是我问店主：“怎么……”还没等我说完，他就已经抓起一把硬币往我的手里塞，“不给钱也行啊！” 说着又把剩下的几种口味从架子上拿了下来递给我。“不用还啦。”然后丢下这句话头也不回地走了。
结果当我回家打开一盒“爱吃的黑巧克力薄荷味”的盒子，里面躺着一封信纸条：
“这都是你吃剩的一半儿... ” 我"
zh_0146	混合	电话	zh	"话说昨天晚上我在餐厅吃东西的时候接到一通神秘来电：“请问你是Q……”“我是”，我刚说完对方便迅速挂断了电话。那一刻我的心中充满了疑惑与好奇——难道是女神？还是男神对我不满想要来个温柔一刀的惩罚呢？

这时，服务员将一份菜单递给我，并热情地问我是否需要一些果汁、咖啡或者茶类饮品搭配这顿美味大餐。

突然间我觉得手机又响了起来，“喂？”。“嗨，小伙子！”只听对面传来混着苹果香甜气息的声音。原来是刚刚那个打电话的人啊！

只见他冲我说道: “怎么样？你们这儿有黑加仑汁吗?”我心想：这家伙怎么知道我要在这里喝黑"
zh_0147	锤击	车	zh	"从前有一只小猫咪叫锤锤。
它想学开车了。于是爸爸带他去了驾校报名。教练给了锤锤一把钥匙，并对他说：“你要学会倒着开。”然后就离开了。
一个小时后……“砰！”一声巨响传来，“妈妈咪呀！！”只见锤锤骑在一只铁桶上。“我靠…这破车子怎么这么重啊...” 爸爸走过来拍拍它的肩膀说: “小伙子你可真会找东西砸自己头哦…”"
zh_0148	钻孔	瓶子	zh	"有一天我正在家里做家务——洗刷碗碟。
这时我的老婆拿着一瓶矿泉水走进来说：“老公你快过来帮我个忙。” 我问她要做什么？她说:“我需要你在瓶子里打几个小眼”我说：那不是应该叫在水里扎些小窟窿吗？
她回答道；“不嘛，这是一句很老的歌词。"" 然后我就去拿了一根牙签对着矿泉水瓶子开始瞎戳……然后就听见她的大喊：“哎呀！” 我急忙跑过去看，只见那个矿泉水瓶已经碎了。。。。。她又说：""好吧，还是我自己来吧。”于是我也坐到旁边继续吃着零食看着电视。几分钟"
zh_0149	切割	毛巾	zh	有一天老婆说：“你去厨房给我切个土豆片吧。”我走到冰箱前拿出一块土豆递给老婆，老婆接过土豆后又给了我一小块布巾。我疑惑的问：“这布条有什么用途？”老婆说：”就是怕你在切的时候掉到地上啊！”突然间，我的手一滑……
zh_0150	锤击	鞋	zh	从前有一个鞋匠，每天都会敲打他的铁锤，一天他突然想：如果我的锤子是鞋子会怎么样呢？于是他就开始想象…… 突然有一天，他觉得自己的手好痒，就去挠了下，结果发现原来自己长了一双巨大的锤子。 鞋匠心想这下好了，以后再也不用买鞋了。于是他就去街上吆喝：“各位乡亲父老，看我这双锤子多漂亮！” 大家都围过来看了看说：“这有什么好看的，又不能穿。” 鞋工无奈地说道：“这可不一定哦！” 说完，他从怀里掏出一把锤子来，往地上一砸，“啪”
zh_0151	锤击	蛋	zh	某天晚上，老婆回家看到我正拿着一根大棒槌对着鸡蛋猛敲。她问：“你在干嘛呢？”我说:“我在锻炼身体。” 她又说： “你天天在家里拿个破棍子打自己？这哪像男人啊！以后要多出去活动活动！” 于是我立刻跑到小区门口的广场上…… 次日清晨醒来后发现脚肿了一大片…于是我把门一关躺在床上自言自语道 ：“早知道这样还不如在家跟媳妇儿好好过日子去...”
zh_0152	锤击	电话	zh	为什么不能把手机挂在锤子上？因为这样打完电话就没地方砸了。等你反应过来的时候……它已经不在你的手里啦~
zh_0153	洗	黄瓜	zh	好嘞，听好了！老王今天去菜市场买菜，路过一家小摊边发现一哥们儿在卖水果。他问：“喂老板……这啥呀？”那哥们回答道：“嗯……这是黄瓜！”于是老王心想：哎呦我的妈啊！！！这么大的黄瓜都拿来卖？于是他又问道：你咋不用水把黄瓜洗干净呢？“我靠……你们不是早说‘用水洗’了吗？为什么现在又改口了呢？”老王愣住了… ...然后就默默走开了... ...从此以后，每当有同学没带卫生纸的时候就会有人叫到：“快给我一块黄瓜擦屁股”哈哈哈... ...
zh_0154	摇晃	桌子	zh	有一天小明在上课时突然听见老师对他说：我有个难题想请教一下你。于是他便问：“什么题目啊？”“为什么一想到数学题就感觉身体不自觉的向椅子后方倾斜呢？ ” 小明看了看周围的人... 然后说道 “这个嘛……其实吧…我想是因为你们总喜欢把答案摆在桌子上。” 这个时候台下的所有人都开始哄笑起来，并且还有一名男生举起了手并站起来说:“那我也来考考大家…”随后他就拿起桌上的杯子摇了两下.... 之后大家都安静了下来。。。 只有坐在最后一排的一个同学喊道。“我知道！”然后他大步走上了讲台对着所有人的
zh_0155	洗	西瓜	zh	"一男子去超市买瓜。看到货架上的大西瓜都挺满意的。
老板：“先生，这个是本地甜菜农种的有机西瓜。”
客户点了点头说：“我只想要那种‘可以上网’的。”
老板一脸懵逼：？？？
然后看见他拿着手机刷着微信朋友圈……
旁边几个大妈纷纷围过来围观“真新鲜呀！”
老板：“对啊大哥你说的是什么西瓜？”
男顾客继续拿着手机看着屏幕：“就是那个，可以让你老婆不在家的时候通过网络来教你如何给她做饭。”
旁边的几位大妈再次发出惊叹之声，并且问了一句：
这货怎么不给他的女朋友呢？
最后这位老板只好回答道:这是个单亲爸爸"
zh_0156	喷洒	书	zh	"话说某日有位大爷在公园里闲逛。突然看见旁边有个小男孩拿着一瓶香水正对着一本书猛喷。

大爷好奇地问：“你这是干啥呢？”

男孩头也不抬地说：“这书上说的都是假话。”

大爷一听，心里一愣：啊！我这不是给他说真话吗？

他赶紧把嘴凑到那瓶香水跟前“喷”了一下，然后大声对男孩喊道：

“你说的是错的！”"
zh_0157	洗	微波	zh	某日，一女士打电话给丈夫：“亲爱的，我在厨房做饭呢！你快点回来！”男士回答道：“我马上就到家。现在正在用微波炉热剩菜，等会儿就回来了。”妻子听后很生气：“你说啥呢？我又没让你把菜放里面煮着！再说了，这都什么年代了？你还说剩菜啊！！”男的回答道：“别急嘛~ 我马上就把这个装在水杯里的衣服拿出来扔掉……”这时妻子打断道：......“你怎么可以把洗衣机放在微波里？”男的淡定地说道，“你这是哪跟哪儿呀，这不是微波洗衣机吗？”这时妻怒不可遏：“滚！不是告诉你
zh_0158	打开	冰箱	zh	下班回到家，我打开了冰箱……发现里面只有一瓶白酒、几串辣椒和一袋生蚝。这让我有点懵。“这是你家的冰箱？”妻子走过来看了看说：“是啊。”“那你的意思是你一直没来过我家？！”突然我发现她的眼睛里闪着泪光，而她的手紧紧握住了门把手。“那你为什么不告诉我...” 我刚要问下去，却猛地被摔进了冰镇矿泉水中…（未完待续）
zh_0159	移动	微波	zh	我今天去食堂吃饭时发现手机不见了，结果一转头就看到它正在隔壁桌“蹭网”呢。本来想过去拿回来，但看到旁边一哥们儿在吃面吃得一脸幸福的样子，我觉得还是算了。于是我拿起旁边的遥控器走到电视面前按了下，然后对着手机大喊一声：“快过来！”只见那手机瞬间化身为一个微波炉，被我关在里面了……等我反应过来的时候，饭已经凉了……
zh_0160	测量	鞋	zh	某日我走进一家酒吧对老板说：“你那有免费的酒吗？”“没有！”他一脸不屑。“要不让我喝一杯吧。”又是一脸鄙夷。于是我掏出自己刚刚买的尺码54号新鞋子说道，“你看我的脚大不大……”然后，他的眼神里充满了惊恐：这人真是疯了？接着他说了一句话把周围所有人都给逗笑了——他递过来一瓶水并安慰到：“先生，请喝水……你不会喝酒的话请不要在这里闹事哈...”最后......（答案揭晓）......原来是家宠物店。。。
zh_0161	切割	车	zh	"老婆：亲爱的……你说我这辆车是不是有问题？
老公（一脸无辜状）：怎么了？哪块不好使啊！
老婆：“你再想想...对…就是那个....”
老公急着打断她的话，“您先别说了！” “我知道”他接着说“您的意思是发动机的问题吧？”
老婆点头。
丈夫：那不就得了嘛。咱俩一起去修个就行了呗!
老婆大怒：""你怎么能这么无脑呢！"" ""还说什么‘咱们夫妻一场’之类的老掉牙的台词吗?!""
这时，他们旁边的司机大哥插话道：
男人: 什么老掉牙的话语? 不知道现在是互联网时代了吗?
女人(瞪眼) : 要"
